Date,Open,High,Low,Close,Adj Close,Volume,negative,positive,neutral,compound
2001-01-02,0.265625,0.272321,0.260045,0.265625,0.227738,452312000.0,0.158,0.092,0.75,-0.9601
2001-01-03,0.258929,0.297991,0.257813,0.292411,0.250703,817073600.0,0.132,0.113,0.755,-0.5994
2001-01-04,0.32394,0.330357,0.300223,0.304688,0.261229,739396000.0,0.098,0.123,0.779,0.9432
2001-01-05,0.302455,0.310268,0.28683,0.292411,0.250703,412356000.0,0.163,0.186,0.651,0.8402
2001-01-08,0.302455,0.303292,0.284598,0.295759,0.253573,373699200.0,0.092,0.102,0.805,0.25
2001-01-09,0.300223,0.315011,0.295759,0.30692,0.263143,588929600.0,0.144,0.056,0.8,-0.9723
2001-01-10,0.297991,0.303571,0.28683,0.295759,0.253573,580781600.0,0.0,0.0,1.0,0.0
2001-01-23,0.344866,0.373884,0.340402,0.366071,0.313857,879530400.0,0.043,0.133,0.824,0.9682
2001-01-24,0.368304,0.36942,0.34933,0.366071,0.313857,717091200.0,0.081,0.095,0.824,0.4215
2001-01-25,0.367188,0.367188,0.352679,0.356027,0.305245,489708800.0,0.151,0.094,0.756,-0.9783
2001-01-26,0.348214,0.353795,0.340402,0.34933,0.299503,482820800.0,0.12,0.096,0.784,-0.7579
2001-01-29,0.34933,0.388393,0.34933,0.387277,0.332038,855528800.0,0.118,0.154,0.727,0.875
2001-01-30,0.385045,0.392857,0.372768,0.388393,0.332995,692423200.0,0.126,0.124,0.749,-0.128
2001-01-31,0.383929,0.401786,0.382813,0.386161,0.331081,730704800.0,0.13,0.133,0.737,-0.1027
2001-02-01,0.36942,0.383929,0.366071,0.377232,0.323426,369695200.0,0.089,0.126,0.785,0.7096
2001-02-02,0.377232,0.391741,0.366071,0.368304,0.315771,427341600.0,0.056,0.168,0.776,0.9153
2001-02-05,0.366071,0.367188,0.352679,0.360491,0.309072,286115200.0,0.08,0.115,0.805,0.7003
2001-02-06,0.359933,0.381975,0.357143,0.377232,0.323426,462711200.0,0.056,0.149,0.795,0.9153
2001-02-07,0.368862,0.372768,0.353795,0.370536,0.317685,393887200.0,0.113,0.129,0.758,0.5312
2001-02-08,0.367188,0.376116,0.360491,0.370536,0.317685,604128000.0,0.142,0.171,0.687,0.7003
2001-02-09,0.366071,0.371652,0.333705,0.341518,0.292806,590083200.0,0.097,0.191,0.712,0.9657
2001-02-12,0.340402,0.357143,0.335938,0.351563,0.301418,274120000.0,0.174,0.022,0.804,-0.9531
2001-02-13,0.356027,0.364955,0.339286,0.341518,0.292806,237070400.0,0.162,0.143,0.695,-0.7506
2001-02-14,0.342634,0.350446,0.330357,0.348214,0.298547,309120000.0,0.098,0.063,0.839,-0.8225
2001-02-15,0.351563,0.367188,0.351563,0.358259,0.307159,311416000.0,0.164,0.084,0.752,-0.9153
2001-02-16,0.339286,0.348214,0.334821,0.339286,0.290892,263911200.0,0.193,0.069,0.738,-0.9698
2001-02-21,0.325893,0.356027,0.325893,0.337054,0.288978,390258400.0,0.068,0.101,0.831,0.7906
2001-02-22,0.340402,0.345982,0.321429,0.335938,0.288021,431961600.0,0.1,0.103,0.797,0.4019
2001-02-23,0.332589,0.337054,0.325893,0.335938,0.288021,293865600.0,0.112,0.163,0.725,0.9403
2001-02-26,0.340402,0.351563,0.331473,0.348214,0.298547,206438400.0,0.175,0.086,0.739,-0.9595
2001-02-27,0.344308,0.347098,0.333705,0.345982,0.296633,348516000.0,0.141,0.099,0.76,-0.6908
2001-02-28,0.345982,0.347098,0.323661,0.325893,0.279409,508233600.0,0.172,0.113,0.716,-0.9136
2001-03-01,0.31808,0.334821,0.30692,0.334821,0.287064,330461600.0,0.071,0.104,0.825,0.7096
2001-03-02,0.327009,0.364955,0.325893,0.34375,0.294719,406201600.0,0.0,0.0,1.0,0.0
2001-03-05,0.345982,0.366071,0.34375,0.363839,0.311943,324172800.0,0.0,0.714,0.286,0.3612
2001-03-09,0.368304,0.36942,0.357143,0.361607,0.310029,299135200.0,0.0,0.0,1.0,0.0
2001-03-13,0.337054,0.34933,0.324777,0.34933,0.299503,443329600.0,0.0,0.0,1.0,0.0
2001-03-14,0.330357,0.366071,0.329241,0.364955,0.3129,477775200.0,0.149,0.097,0.754,-0.8555
2001-03-15,0.372768,0.381696,0.351563,0.351563,0.301418,529317600.0,0.101,0.062,0.837,-0.8934
2001-03-16,0.339286,0.362723,0.337054,0.350446,0.30046,470316000.0,0.0,0.0,1.0,0.0
2001-03-19,0.352679,0.368304,0.348214,0.367188,0.314814,356008800.0,0.147,0.077,0.776,-0.9313
2001-03-20,0.369978,0.373884,0.351563,0.351563,0.301418,499206400.0,0.089,0.121,0.79,0.8591
2001-03-21,0.353237,0.372768,0.345982,0.359375,0.308116,371375200.0,0.101,0.075,0.825,-0.5719
2001-03-22,0.363839,0.388393,0.360491,0.386161,0.331081,723301600.0,0.143,0.129,0.728,-0.1531
2001-03-23,0.393973,0.420759,0.392857,0.410714,0.352132,944888000.0,0.119,0.159,0.722,0.9413
2001-03-26,0.413036,0.424107,0.377321,0.388929,0.333454,734451200.0,0.061,0.154,0.784,0.9657
2001-03-27,0.391786,0.411607,0.391071,0.408393,0.350142,543821600.0,0.106,0.036,0.858,-0.9153
2001-03-28,0.394286,0.401786,0.383929,0.395893,0.339425,584662400.0,0.141,0.171,0.687,0.7789
2001-03-29,0.38875,0.41875,0.383929,0.402321,0.344936,613065600.0,0.089,0.084,0.828,-0.4588
2001-03-30,0.402679,0.405714,0.381071,0.394107,0.337894,400349600.0,0.134,0.134,0.732,-0.0258
2001-04-04,0.352857,0.361607,0.334821,0.348214,0.298547,685484800.0,0.115,0.076,0.809,-0.6124
2001-04-05,0.367857,0.401786,0.357143,0.372679,0.319522,446762400.0,0.171,0.21,0.619,0.765
2001-04-06,0.371429,0.375714,0.355357,0.367679,0.315235,324889600.0,0.053,0.096,0.851,0.6486
2001-04-09,0.369464,0.381071,0.358214,0.366786,0.314469,266582400.0,0.128,0.101,0.771,-0.7269
2001-04-10,0.373214,0.405357,0.371071,0.393571,0.337434,457374400.0,0.126,0.05,0.824,-0.8779
2001-04-11,0.410357,0.410714,0.38,0.389286,0.33376,334096000.0,0.155,0.072,0.773,-0.9313
2001-04-12,0.3825,0.411071,0.377679,0.400357,0.343252,298933600.0,0.106,0.13,0.764,0.5267
2001-04-16,0.394464,0.4,0.3725,0.382857,0.328248,285224800.0,0.111,0.2,0.689,0.9274
2001-04-17,0.378571,0.37875,0.35,0.364286,0.312326,685199200.0,0.111,0.047,0.842,-0.8316
2001-04-18,0.385179,0.43,0.376429,0.406964,0.348917,1100842400.0,0.084,0.13,0.786,0.836
2001-04-19,0.45625,0.459821,0.421429,0.459286,0.393776,1873670400.0,0.039,0.135,0.827,0.926
